MW,FaultType,Rjb,VS30,PGA
3.4,Ters Oblik Atımlı,11.99,423.11,0.004147718361541037
3.4,Ters Oblik Atımlı,85.59,347.0,0.00021292732358222605
3.4,Ters Oblik Atımlı,213.84,361.0,8.468467588253498e-05
3.4,Ters Oblik Atımlı,72.56,461.0,0.00036936375818004934
3.4,Ters Oblik Atımlı,85.21,505.0,0.0008202604697703406
3.4,Ters Oblik Atımlı,141.21,895.0,4.05843915978791e-05
3.4,Ters Oblik Atımlı,82.36,927.0,0.00030829739280019864
3.4,Ters Oblik Atımlı,37.77,668.72,0.0009416308352791183
3.4,Ters Oblik Atımlı,120.07,1242.0,0.00014362978664281305
3.4,Ters Oblik Atımlı,125.87,489.0,9.12339996616393e-05
3.4,Ters Oblik Atımlı,65.97,393.26,0.00040410900857531
3.4,Ters Oblik Atımlı,52.76,434.29,0.0012919266520707512
3.4,Ters Oblik Atımlı,45.39,396.33,0.0008840262765240239
3.4,Ters Oblik Atımlı,53.94,257.0,0.001987228406441625
3.4,Ters Oblik Atımlı,112.52,378.0,0.0001491235555051582
3.4,Ters Oblik Atımlı,81.39,303.0,0.00012458930469426337
3.4,Ters Oblik Atımlı,43.11,370.36,0.0005928120490412539
3.4,Ters Oblik Atımlı,162.69,698.72,0.00011460544154746755
3.4,Ters Oblik Atımlı,23.05,355.87,0.006087456302448874
3.4,Ters Oblik Atımlı,85.86,474.0,8.950576875900234e-05
3.4,Ters Oblik Atımlı,76.0,760.0,0.0006610597264453568
3.4,Ters Oblik Atımlı,112.45,500.0,0.00013072956799209582
3.4,Ters Oblik Atımlı,33.0,292.23,0.002003023912994775
3.4,Ters Oblik Atımlı,87.74,414.77,0.0003930987420556062
3.4,Ters Oblik Atımlı,61.31,416.52,6.398530366396647e-05
3.4,Ters Oblik Atımlı,48.34,471.92,0.0007066824355633159
3.4,Ters Oblik Atımlı,64.29,639.74,0.00011915421858855857
3.4,Ters Oblik Atımlı,41.07,402.06,0.0014916029652386857
3.4,Ters Oblik Atımlı,119.74,699.0,0.00017327068627352984
3.4,Ters Oblik Atımlı,55.88,529.99,0.002109425191346249
3.4,Ters Oblik Atımlı,192.59,704.1,7.728960983793358e-05
3.4,Ters Oblik Atımlı,42.31,282.25,0.0021340817856009405
3.4,Ters Oblik Atımlı,137.43,355.87,0.0002056260773830012
3.4,Ters Oblik Atımlı,20.0,750.25,0.0015915027174558296
3.4,Ters Oblik Atımlı,38.73,489.62,0.0013597995936210378
3.4,Ters Oblik Atımlı,71.2,313.0,0.0003407839626891647
4.35,Yanal Atımlı,211.89,404.73,0.0005039461656908701
3.4,Ters Oblik Atımlı,38.01,377.62,0.0011084882363393848
3.4,Ters Oblik Atımlı,102.71,440.67,0.000316201486631578
3.4,Ters Oblik Atımlı,114.34,586.0,0.00015278820969593824
3.4,Ters Oblik Atımlı,9.82,383.09,0.02416660541536252
3.4,Ters Oblik Atımlı,24.34,428.08,0.0021616390899193328
3.4,Ters Oblik Atımlı,82.37,405.0,0.0003296593489510801
3.4,Ters Oblik Atımlı,22.56,383.69,0.007207724998604947
3.4,Ters Oblik Atımlı,61.16,660.0,0.00019572371783963742
3.68,Yanal Atımlı,80.28,796.0,0.0006198945454225904
3.68,Yanal Atımlı,94.56,356.0,0.0002933744915581449
3.68,Yanal Atımlı,118.72,370.0,0.0003212907632218829
3.68,Yanal Atımlı,61.81,477.0,0.0006386682594855407
3.68,Yanal Atımlı,46.3,1329.0,0.0003391670740414818
3.68,Yanal Atımlı,93.69,679.0,0.00031757072607394086
3.68,Yanal Atımlı,28.13,726.0,0.0007132094590797923
3.68,Yanal Atımlı,103.98,981.0,0.0003319735731817971
3.68,Yanal Atımlı,90.71,448.0,0.00016715702133398406
3.68,Yanal Atımlı,55.02,1188.0,0.001756695557894062
3.68,Yanal Atımlı,104.58,338.28,0.0002436240247618654
3.68,Yanal Atımlı,95.45,956.0,0.00027634241374892125
3.68,Yanal Atımlı,79.52,819.0,0.000609094132161959
3.68,Yanal Atımlı,118.26,374.5,0.0007997950067723229
4.19,Yanal Atımlı,57.62,375.0,0.002222394313094895
4.19,Yanal Atımlı,137.81,347.0,0.00043363303452324754
4.19,Yanal Atımlı,89.38,361.0,0.0022048273893119277
4.19,Yanal Atımlı,200.18,348.0,0.00010854630647553144
4.19,Yanal Atımlı,57.69,499.0,0.004425951467022454
4.19,Yanal Atımlı,121.15,265.59,0.0007044820738128473
4.19,Yanal Atımlı,186.62,511.0,0.0004456621848553229
4.19,Yanal Atımlı,94.68,399.9,0.0008907934289556586
4.19,Yanal Atımlı,175.99,402.0,0.0005023748959396957
4.19,Yanal Atımlı,51.9,524.0,0.0017016374315831208
4.19,Yanal Atımlı,126.74,619.0,0.0006299826671852648
4.19,Yanal Atımlı,162.12,461.0,0.0005176449596281703
4.19,Yanal Atımlı,110.18,370.0,0.0011591813703363465
4.19,Yanal Atımlı,112.04,652.2,0.0005799505829107598
4.19,Yanal Atımlı,179.77,505.0,0.00020663229310139303
4.19,Yanal Atımlı,86.45,292.0,0.0004934263537079976
4.19,Yanal Atımlı,137.61,432.0,0.0011241935933305482
4.19,Yanal Atımlı,52.38,267.92,0.005387644089042223
4.19,Yanal Atımlı,137.1,477.0,0.0015837800500212206
4.19,Yanal Atımlı,200.42,625.0,9.50801473760427e-05
4.19,Yanal Atımlı,52.16,396.06,0.0025995677147022367
4.19,Yanal Atımlı,79.56,576.04,0.0009689839578496747
4.19,Yanal Atımlı,150.44,668.72,0.00014421141050249803
4.19,Yanal Atımlı,150.76,611.0,0.0004096866027685064
4.19,Yanal Atımlı,58.57,372.0,0.00315941548637218
4.19,Yanal Atımlı,166.57,238.0,0.0007782755457198755
4.19,Yanal Atımlı,151.51,393.26,0.00011150346814695945
4.19,Yanal Atımlı,104.4,679.0,0.001178619760892859
4.19,Yanal Atımlı,296.65,386.0,6.657098624130486e-05
4.19,Yanal Atımlı,138.02,559.0,0.00032659881391384446
4.19,Yanal Atımlı,136.99,434.29,0.0004364794928228931
4.19,Yanal Atımlı,43.21,335.43,0.001980824281073412
4.19,Yanal Atımlı,207.14,644.0,8.477223273389701e-05
4.19,Yanal Atımlı,20.55,388.0,0.013330558614130456
4.19,Yanal Atımlı,200.32,623.0,0.0004455698586656194
4.19,Yanal Atımlı,142.61,655.67,0.000753097633590652
4.19,Yanal Atımlı,127.16,273.32,0.0004189271984429037
4.19,Yanal Atımlı,205.89,419.23,8.32517550799381e-05
